ISim log file
Running: C:\Users\CS152B\Desktop\Group3\Lab0\first_counter_tb_isim_beh.exe -intstyle ise -gui -tclbatch isim.cmd -wdb C:/Users/CS152B/Desktop/Group3/Lab0/first_counter_tb_isim_beh.wdb 
ISim P.68d (signature 0x7708f090)
----------------------------------------------------------------------
WARNING:Security:42 - Your software subscription period has lapsed. Your current version of Xilinx tools will continue to function, but you no longer qualify for Xilinx software updates or new releases.


----------------------------------------------------------------------
This is a Full version of ISim.
Time resolution is 1 ps
# onerror resume
# wave add /
# run 1000 ns
Simulator is doing circuit initialization process.
time	 clk reset enable counter
Finished circuit initialization process.
0	 1 0 0 xxxx
1	 0 0 0 xxxx
2	 1 0 0 xxxx
3	 0 0 0 xxxx
4	 1 0 0 xxxx
5	 0 1 0 xxxx
6	 1 1 0 xxxx
434	 1 0 1 1110
435	 0 0 1 1110
436	 1 0 1 1110
437	 0 0 1 1110
438	 1 0 1 1110
439	 0 0 1 1110
440	 1 0 1 1110
441	 0 0 1 1110
442	 1 0 1 1110
443	 0 0 1 1110
444	 1 0 1 1110
445	 0 0 1 1110
446	 1 0 1 1110
447	 0 0 1 1110
448	 1 0 1 1110
449	 0 0 1 1110
450	 1 0 1 1110
451	 0 0 1 1110
452	 1 0 1 1110
453	 0 0 1 1110
454	 1 0 1 1110
455	 0 0 1 1110
456	 1 0 1 1110
457	 0 0 1 1110
458	 1 0 1 1110
459	 0 0 1 1110
460	 1 0 1 1110
461	 0 0 1 1110
462	 1 0 1 1110
463	 0 0 1 1110
464	 1 0 1 1110
465	 0 0 1 1111
466	 1 0 1 1111
467	 0 0 1 1111
468	 1 0 1 1111
469	 0 0 1 1111
470	 1 0 1 1111
471	 0 0 1 1111
472	 1 0 1 1111
473	 0 0 1 1111
474	 1 0 1 1111
475	 0 0 1 1111
476	 1 0 1 1111
477	 0 0 1 1111
478	 1 0 1 1111
479	 0 0 1 1111
480	 1 0 1 1111
481	 0 0 1 1111
482	 1 0 1 1111
483	 0 0 1 1111
484	 1 0 1 1111
485	 0 0 1 1111
486	 1 0 1 1111
487	 0 0 1 1111
488	 1 0 1 1111
489	 0 0 1 1111
490	 1 0 1 1111
491	 0 0 1 1111
492	 1 0 1 1111
493	 0 0 1 1111
494	 1 0 1 1111
495	 0 0 1 1111
496	 1 0 1 1111
497	 0 0 1 0000
